Neighborhood,licensedUnits
Armatage,396
Audubon Park,595
Bancroft,313
Beltrami,277
Bottineau,502
Bryant,272
Bryn Mawr,175
Camden Industrial Area,1
Carag,2549
Cedar Rside/West Bank,2397
Cedar-Isles-Dean,1029
Central,1169
Cleveland,263
Columbia,91
Como,1624
Cooper,317
Corcoran,614
Diamond Lake,228
Downtown East,946
Downtown West,4142
East Harriet,665
East Isles,1250
Ecco,795
Elliot Park,2596
Ericsson,325
Field,132
Folwell,749
Fulton,346
Hale,139
Harrison,714
Hawthorne,696
Hiawatha,935
Holland,1221
Howe,677
Jordan,1073
Keewaydin,168
Kenny,90
Kenwood,80
King Field,1082
Lind-Bohanon,507
Linden Hills,997
Logan Park,500
Longfellow,1028
Loring Park,4921
Lowry Hill,1198
Lowry Hill East,4876
Lyndale,2131
Lynnhurst,219
Marcy-Holmes,6209
Marshall Terrace,302
Mckinley,396
Mid City Industrial Ar,18
Minnehaha,326
Morris Park,187
Near North,769
Nicollet Is/East Bank,1056
Northeast Park,114
Northloop,3456
Northrop,265
Page,38
Phillips,2801
Powderhorn Park,1696
Prospect Pk/E River Rd,3087
Regina,126
Seward,2036
Sheridan,1003
Shingle Creek,169
St Anthony East,467
St Anthony West,692
Standish,579
Stevens Sq/Loring Hgts,2182
Sumner-Glenwood,15
Tangletown,478
University,425
Ventura Village,1674
Victory,276
Waite Park,209
Webber-Camden,640
Wenonah,609
West Maka Ska,771
Whittier,6423
Willard-Hay,1019
Windom,895
Windom Park,1063
